
time,npos,epos,alt,phi,theta,psi,vel,alpha,beta,p,q,r,nx,ny,nz,mach,qbar,ps,

 0.00000, 0.00000, 0.00000,15000.00000, 0.00000, 4.46549, 0.00000,500.00000, 4.46549, 0.00000, 0.00000, 0.00000, 0.00000, 0.07786, 0.00000, 0.99696, 0.47339,187.31921,1193.18672,2120.62145,-2.46069, 0.00000, 0.00000,
 5.86114,2914.89185,-48.38036,14656.47771,25.96177, 3.09930, 5.65917,506.70790,11.75003, 2.07383,-13.75689,-0.35890, 0.21241, 0.24762,-0.12288, 2.34026, 0.47910,194.53826,1209.83633,2120.62145,-2.46189, 0.00080,-0.00201,
22.28860,11421.51526,1665.05300,13761.36667,12.78081, 1.36014,19.84534,552.96464, 4.07929, 0.03055,-0.15042, 0.74978, 0.71143, 0.06669,-0.00109, 1.19844, 0.52101,238.48113,1254.10065,2120.62145,-2.46220, 0.00101,-0.00252,
38.70444,19460.58014,5541.13661,14066.62248,11.21926,10.02293,33.05686,525.93589, 4.23916, 0.03160,-0.17837, 0.46585, 0.65609, 0.07213,-0.00106, 1.10067, 0.49613,213.62310,1238.86127,2120.62145,-2.46157, 0.00059,-0.00148,
55.16290,25836.46543,10515.05389,14967.38343,10.27257, 9.33167,44.35444,467.88703, 4.66219, 0.03634,-0.18220,-0.28670, 0.67667, 0.08248,-0.00095, 0.89925, 0.44293,164.20453,1194.75958,2120.62145,-2.46323, 0.00169,-0.00424,
71.57959,30858.96132,16171.01329,15034.08990, 8.42661, 0.92563,53.58667,469.00296, 4.65351, 0.02843,-0.13588,-0.35162, 0.56434, 0.08230,-0.00070, 0.89926, 0.44411,164.63105,1191.54459,2120.62145,-2.46223, 0.00103,-0.00257,
87.99488,35246.92134,22930.25037,14287.66576, 6.44775,-0.73868,61.17381,518.43014, 4.29651, 0.01793,-0.09435, 0.27670, 0.39145, 0.07369,-0.00055, 1.06956, 0.48948,206.09139,1227.91945,2120.62145,-2.46157, 0.00059,-0.00148,
104.45333,39060.13800,30760.55344,13987.90371, 5.25689, 5.73657,67.49949,530.87173, 4.23150, 0.01440,-0.07749, 0.45518, 0.30931, 0.07134,-0.00051, 1.12242, 0.50064,218.20547,1242.77682,2120.62145,-2.46323, 0.00169,-0.00424,
120.87003,41956.19451,38649.33434,14564.09333, 4.69372, 9.51768,72.83241,491.52069, 4.49381, 0.01514,-0.07876,-0.00924, 0.29541, 0.07863,-0.00045, 0.98180, 0.46457,183.60084,1214.34574,2120.62145,-2.46223, 0.00103,-0.00257,
137.28531,43997.62791,46147.58439,15002.74875, 4.04028, 5.04984,77.27823,465.50033, 4.70581, 0.01421,-0.06915,-0.39673, 0.27180, 0.08301,-0.00035, 0.89390, 0.44074,162.34669,1193.05424,2120.62145,-2.46157, 0.00059,-0.00148,
153.74377,45502.16678,53814.10761,14660.43001, 3.19779, 0.15383,80.92242,491.99878, 4.48537, 0.00983,-0.04675,-0.07269, 0.20452, 0.07852,-0.00029, 0.97813, 0.46520,183.38425,1209.64372,2120.62145,-2.46323, 0.00169,-0.00424,
170.16046,46624.19364,62089.83045,14146.35040, 2.52607, 2.62303,83.92566,522.37864, 4.28527, 0.00705,-0.03639, 0.32525, 0.15192, 0.07301,-0.00024, 1.08952, 0.49293,210.20098,1234.90566,2120.62145,-2.46223, 0.00103,-0.00257,
186.57575,47360.60661,70581.41334,14287.96525, 2.15433, 7.53830,86.43642,509.39665, 4.37218, 0.00644,-0.03399, 0.19401, 0.13171, 0.07545,-0.00021, 1.04517, 0.48095,198.96987,1227.90468,2120.62145,-2.46157, 0.00059,-0.00148,
